LOSS,TRAINING SET ACCURACY,VALIDATION SET LOSS,VALIDATION SET ACCURACY
0.21421960680211177,0.7100409865379333,0.1747757000325871,0.8316008448600769
0.15356843393357072,0.8483606576919556,0.13821961019738052,0.8461538553237915
0.1209485861854475,0.8719262480735779,0.11454923242996612,0.8690228462219238
0.09962905149479381,0.8954917788505554,0.10242871428198973,0.8711018562316895
0.08491363254238347,0.9180327653884888,0.08978717341213613,0.8960499167442322
0.07343874981657403,0.9293032884597778,0.08131626176622671,0.9085239171981812
0.06365208425482766,0.9467213153839111,0.07705777220567397,0.9064449071884155
0.055946985473398304,0.9549180269241333,0.06877583672685583,0.927234947681427
0.0493482159236904,0.9631147384643555,0.06339872293387251,0.9417879581451416
0.04407922435002249,0.9672130942344666,0.05936644029447309,0.9459459185600281
0.03924794150058363,0.9723360538482666,0.05621162326444955,0.9438669681549072
0.03515728630247663,0.9743852615356445,0.05515367387486099,0.939708948135376
0.03240716213085612,0.9784836173057556,0.04985584837351606,0.9542619585990906
0.029171801706562278,0.9825819730758667,0.047829106244841386,0.952182948589325
0.026487260568337362,0.9856557250022888,0.04484255431295448,0.9646569490432739
0.024241585253936347,0.9856557250022888,0.04260392837928755,0.9667359590530396
0.02183817430078739,0.9887295365333557,0.04296430016155287,0.9542619585990906
0.020382015202499805,0.9897540807723999,0.03920845006517059,0.9708939790725708
0.018319513175453318,0.9928278923034668,0.03776420608720512,0.9688149690628052
0.017061978944989502,0.993852436542511,0.037660393575419386,0.9563409686088562
0.015680792619336824,0.993852436542511,0.03598766874622654,0.9563409686088562
0.014747773663553058,0.993852436542511,0.03440803784505307,0.9708939790725708
0.013448416316484819,0.9948770403862,0.03364038679036244,0.9688149690628052
0.012532242115770207,0.9959016442298889,0.03216789591197784,0.9771309494972229
0.011637075911047028,0.9959016442298889,0.031559695239932024,0.9729729890823364
0.010773159845991701,0.9959016442298889,0.031104340601107155,0.9729729890823364
0.010002731483002177,0.9959016442298889,0.030417706391087002,0.9729729890823364
